0,1,462.61,52.0
0,2,403.12,46.8
0,3,160.62,26.7
0,4,172.32,26.7
0,5,216.42,30.3
0,6,486.64,52.9
0,7,443.12,49.6
0,8,308.07,38.1
0,9,313.82,39.3
0,10,446.82,49.8
0,11,418.52,47.9
0,12,419.52,48.0
0,13,398.53,46.6
0,14,424.04,47.0
0,15,409.42,47.0
0,16,400.02,47.0
0,17,500.8,55.2
0,18,242.32,32.3
0,19,420.41,48.2
0,20,440.84,49.3
0,21,373.87,42.2
0,22,335.92,41.6
0,23,342.12,41.6
0,24,384.02,42.5
0,25,197.24,29.6
0,26,291.49,35.6
0,27,365.23,43.6
0,28,334.58,33.9
0,29,412.72,45.1
0,30,297.36,29.3
0,31,118.31,22.5
0,32,343.72,41.8
0,33,358.88,43.2
0,34,391.22,42.4
0,35,367.42,43.6
0,36,395.5,45.7
0,37,184.74,28.1
0,38,159.31,25.8
0,39,215.75,22.1
0,40,179.97,27.4
0,41,295.37,29.0
0,42,384.0,44.6
0,43,316.22,30.6
0,44,491.87,55.6
0,45,426.33,47.2
0,46,134.82,24.0
0,47,460.42,51.1
0,48,512.45,56.6
0,49,490.92,54.4
0,50,496.88,55.1
0,51,477.27,53.9
0,52,317.82,37.6
0,53,324.47,38.3
0,54,433.66,48.9
0,55,220.84,30.6
0,56,387.92,45.6
0,57,398.25,46.5
0,58,240.65,32.6
0,59,172.45,27.4
0,60,337.92,39.2
0,61,240.68,24.3
0,62,253.28,25.6
0,63,256.76,25.6
0,64,156.36,25.8
0,65,197.12,28.6
0,66,326.22,40.1
0,67,480.07,52.9
0,68,455.25,50.6
0,69,271.42,35.6
0,70,398.77,45.7
0,71,310.2,30.4
0,72,359.88,40.7
0,73,488.44,49.8
0,74,500.42,55.3
0,75,214.42,30.1
0,76,337.72,41.3
0,77,365.47,42.8
0,78,186.55,19.9
0,79,471.98,53.7
0,80,142.56,24.6
0,81,204.5,29.6
0,82,481.55,54.3
0,83,226.52,31.3
0,84,354.52,40.6
0,85,198.34,29.6
0,86,362.42,43.0
